title,price,location,details
À vendre – Appartement S2 à La Soukra,,,"320 000 TND | La Soukra Ville, La Soukra | 124m² | 1 Pièce | 2 Chambres"
S2 haut standing de 125 m,,,"750 000 TND | Les Jardins de Carthage, La Marsa | 125m² | 3 Pièces | 3 Chambres"
S2 de 115 m² à Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 115m² | 3 Pièces | 2 Chambres"
À vendre Appartement type S2 cuisine ouverte,,,"386 000 TND | Sahloul, Sousse | 107m² | 4 Pièces | 2 Chambres"
Appartement s1 à vendre,,,"220 000 TND | Khezama Est, Sousse | 60m² | 2 Pièces | 1 Ch."
Appartement s2 a vendre,,,"360 000 TND | Khezama Est, Sousse | 110m² | 3 Pièces | 2 Chambres"
Appartement s3 à vendre,,,"450 000 TND | Khezama Est, Sousse | 150m² | 4 Pièces | 3 Chambres"
A vendre appartement s2 sur plan,,,"383 000 TND | Khezama Est, Sousse | 96m² | 3 Pièces | 2 Chambres"
Résidence Floria - Cité el Ghazela,À partir de 339 000 TND,,"À partir de 339 000 TND | À partir de | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing"
Appartement s2 à vendre,,,"350 000 TND | Khezama Est, Sousse | 130m² | 3 Pièces | 2 Chambres"
À VENDRE –Appartement S2 – Hannibal 3. A,,,"868 000 TND | Gammarth Supérieur, La Marsa | 150m² | 3 Pièces | Terrasse"
Appartement A34 – Résidence MAYA à Kairouan,,,223 532 TND | Kairouan Ville | 95m² | 3 Pièces | 2 Chambres
Vente d'un bel appartement à Route Lafrane. Superficie 193 m...,,,"Prix à consulter | Route Lafrane, Sfax | 193m² | 4 Pièces | 3 Chambres"
Superbe S1 de 80 m2 en RDC avec un jardin de 26 m,,,"379 000 TND | La Soukra Ville, La Soukra | 81m² | 2 Pièces | 1 Ch."
Superbe appartement à vendre à El Omrane Supérieur. Surface...,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 71m²"
À vendre Appartement S2 au Lac 2,,,"700 000 TND | La Marsa Ville, La Marsa | Baisse du prix50 000 TND | 115m² | 3 Pièces"
À vendre Appartement S2 au Lac 2,,,"550 000 TND | Les Berges Du Lac 2, Tunis | 59m² | 3 Pièces | 2 Chambres"
A Louer S1 au lac2,380 000 TND,,"380 000 TND | Les Berges Du Lac 2, Tunis | 60m² | 2 Pièces | 1 Ch."
À vendre un Appartement S1 meublé au Lac 2,,,"Prix à consulter | Les Berges Du Lac 2, Tunis | 49m² | 2 Pièces | 1 Ch."
À vendre – Appartement S2 neuf à Cité Merdes,,,180 000 TND | Kélibia | 100m² | 3 Pièces | 2 Chambres
